Date,Open,High,Low,Close,Volume
2026-01-20,610.53,615.055,607.05,608.06,81988898
2026-01-21,609.47,620.42,607.8635,616.28,79837881
2026-01-22,622.35,622.46,617.78,620.76,42254757
2026-01-23,619.73,625.3999,618.65,622.72,43645825
2026-01-26,623.21,627.61,622.12,625.46,35983008
2026-01-27,628.91,632.0427,627.34,631.13,38997212
2026-01-28,635.46,636.6,631.81,633.22,50691691
2026-01-29,632.65,633.67,618.27,629.43,79944047
2026-01-30,625.71,628.256,619.2975,621.87,65650714
2026-02-02,618.7,628.49,618.66,626.14,49020292
2026-02-03,628.3,629.98,610.96,616.52,81233969
2026-02-04,615.02,615.1,600.47,605.75,81850748
2026-02-05,600.21,604.81,594.76,597.03,89354492
2026-02-06,600.19,611.41,598.77,609.65,78019338
2026-02-09,607.54,616.46,605.07,614.32,56797557
2026-02-10,615.305,617.02,611.01,611.47,53938859
2026-02-11,616.38,617.52,607.69,613.11,58575101
2026-02-12,614.71,615.81,599.5699,600.64,81378903
2026-02-13,600.43,606.48,596.42,601.92,69237547
2026-02-17,598.375,603.95,593.34,601.3,69013763
2026-02-18,602.11,609.771,600.72,605.79,64250668
2026-02-19,602.81,605.815,600.75,603.47,60960839
2026-02-20,600.12,610.35,599.23,608.81,74127323
2026-02-23,606.605,608.01,599.05,601.41,63859111
2026-02-24,602.4,608.99,599.73,607.87,55023732
2026-02-25,611.07,616.83,611,616.68,55710700
2026-02-26,615.59,615.59,603.98,609.24,95536906
2026-02-27,602.98,608.32,602.19,607.29,67964699
2026-03-02,598.86,609.92,597.99,608.09,75264644
2026-03-03,596.33,603.96,591.87,601.67,97015532
2026-03-04,604.16,612.88,603.43,610.72,70943888
2026-03-05,607.4,612.76,602.26,608.93,89602407
2026-03-06,600.31,606,598.33,599.83,86302307
2026-03-09,594.225,609.27,591.33,607.71,93068170
2026-03-10,607.78,613.29,605.42,607.73,64078867
2026-03-11,608.95,612.43,605.03,607.69,60114800
2026-03-12,602.76,604.14,597.05,597.26,71836629
2026-03-13,599.73,603.5999,592.57,593.72,63145490
2026-03-16,600.04,603.86,599.11,600.38,49077155
2026-03-17,603.14,605.9,601.87,603.31,47106607
2026-03-18,601.49,603.16,594.56,594.9,56127962
2026-03-19,589.51,595.8,587.08,593.02,75597578
2026-03-20,591.06,591.17,578.54,582.06,91964677
2026-03-23,590.52,595.08,585.96,588,89936118
2026-03-24,584.81,587.93,581.93,583.98,57750895
2026-03-25,589.14,591.37,585.69,587.82,60475491
2026-03-26,582.6,584.63,573.43,573.79,81492124
2026-03-27,570.81,571.02,561.57,562.58,82702240
2026-03-30,567.38,568.05,555.6,558.28,70602622
2026-03-31,564.29,578.64,564.21,577.18,95877997
2026-04-01,581.48,587.739,580.42,584.31,79435132
2026-04-02,573.97,586.05,571.92,584.98,50941709
2026-04-06,586.23,590.61,584.69,588.5,35108496
2026-04-07,585.64,588.98,578.4001,588.59,49948195
2026-04-08,608.71,609.9,602.12,606.09,63085996
2026-04-09,605.93,610.5,603.03,610.19,37837538
2026-04-10,611.84,613.67,609.58,611.07,34038533
2026-04-13,609.48,626.74,608.11,617.39,32972110
2026-04-14,620.22,628.6,620.1,628.6,49921082
2026-04-15,629.08,637.83,628.2,637.4,50102386
2026-04-16,639.21,642.18,635.255,640.47,42320581
2026-04-17,645.59,650,644.07,648.85,53488871
2026-04-20,648.04,648.76,642.52,646.79,37138511
2026-04-21,648.41,650.2,642.21,644.33,39580523
2026-04-22,650.15,655.33,648.52,655.11,37368402
2026-04-23,653.55,656.92,645.52,651.42,40099827
2026-04-24,658.51,664.51,656.5301,663.88,45563050
2026-04-27,663.4,664.43,660.69,664.23,32717030
2026-04-28,657.41,659.64,653.81,657.55,34147916
2026-04-29,658.63,661.72,656.5899,661.57,31724860
2026-04-30,665.35,668.9,657.56,667.74,40622226
2026-05-01,669.16,675.97,668.8,674.15,39172607
2026-05-04,674.66,676.73,668.9,672.88,34541990
2026-05-05,677.96,682.7734,677.51,681.61,37101063
2026-05-06,687.78,695.93,686.48,695.77,38778492
2026-05-07,696.58,701.24,691.77,694.94,43779087
2026-05-08,699.92,711.23,699.5,711.23,44320421
2026-05-11,710.36,714.59,708.91,713.29,36019146
2026-05-12,708.22,710.18,696.64,707.24,45873009
2026-05-13,709.96,716.65,704.83,714.71,40012526
2026-05-14,714.62,722.03,714.22,719.79,33327545
2026-05-15,710.14,715.13,705.55,708.93,51792656
2026-05-18,711.54,712.07,698.85,705.88,49834549
2026-05-19,699.81,706.49,695.25,701.53,46827529
2026-05-20,705.29,713.15,703.79,713.15,36779222
2026-05-21,708.99,717.12,706.77,714.51,36415360
2026-05-22,718.07,722.12,715.95,717.54,33118575
2026-05-26,725.96,731.17,724.16,730.28,34254692
2026-05-27,732.96,733.32,725.44,729.45,35148674
2026-05-28,729.73,736.6,726.41,735.6,32839952
2026-05-29,737.84,741.63,735.25,738.31,37541668
2026-06-01,737.04,745.65,735.99,742.74,33890559
2026-06-02,742.4,746.44,739.23,746.16,30085238
2026-06-03,747.31,748.65,741.01,744.21,40270198
2026-06-04,735.48,743.4988,732.62,740.61,40782580
2026-06-05,730.06,731.69,704.32,705.06,99606572
2026-06-08,717.81,723.03,713.07,716.07,47401451
2026-06-09,722.98,725.66,686.37,707.83,91932171
2026-06-10,701.66,711.28,692.93,693.69,65334283
2026-06-11,699.29,718.3721,695,717.12,71798857
2026-06-12,717.61,724.01,711.28,721.34,51236021
2026-06-15,738.1,744.7599,737.38,744,46710216
2026-06-16,742.25,744.22,729.64,729.86,45348675
2026-06-17,735.19,735.68,720.85,722.51,51669322
2026-06-18,737.2,741.82,732.51,740.62,50154595
