Date,Open,High,Low,Close,Volume
2026-01-27,694.18,696.53,693.57,695.49,55506147
2026-01-28,697.05,697.84,693.94,695.42,61172165
2026-01-29,696.39,697.06,684.83,694.04,97486198
2026-01-30,691.79,694.21,687.12,691.97,101835131
2026-02-02,689.58,696.93,689.42,695.41,79286521
2026-02-03,696.21,696.96,684.03,689.53,107904611
2026-02-04,690.35,691.45,681.76,686.19,105204600
2026-02-05,680.94,683.69,675.79,677.62,113610812
2026-02-06,681.46,692.31,680.85,690.62,89127566
2026-02-09,689.42,695.87,688.34,693.95,73885192
2026-02-10,694.95,696.54,691.66,692.12,65185725
2026-02-11,696.39,697.14,689.18,691.96,76353872
2026-02-12,694.24,695.35,680.37,681.27,118828963
2026-02-13,681.69,686.28,677.52,681.75,96267487
2026-02-17,680.14,684.94,675.78,682.85,81354660
2026-02-18,684.02,689.15,682.83,686.29,73570341
2026-02-19,683.84,686.18,681.5475,684.48,58649363
2026-02-20,682.32,690.06,681.73,689.43,100033986
2026-02-23,687.83,690,680.371,682.39,90558100
2026-02-24,681.9,688.35,680,687.35,73798727
2026-02-25,690.18,693.68,690.1,693.15,56369500
2026-02-26,693.28,693.3,684.35,689.3,71080843
2026-02-27,683.09,686.86,681.64,685.99,83072210
2026-03-02,678.7,688.62,678.02,686.38,87477198
2026-03-03,675.06,682.61,669.66,680.33,105003113
2026-03-04,681.63,687.09,679.62,685.13,79182244
2026-03-05,682.08,685.53,675.61,681.31,106606464
2026-03-06,673.41,676.11,669.76,672.38,100686951
2026-03-09,666.39,679.92,662.39,678.27,102667711
2026-03-10,677.72,683.36,674.76,677.18,81505315
2026-03-11,677.58,680.08,673.34,676.33,68441672
2026-03-12,671.16,671.65,665.87,666.06,108882246
2026-03-13,669.27,672.335,661.36,662.29,97200242
2026-03-16,668.38,672.07,667.12,669.03,82023130
2026-03-17,672.39,674.44,669.7,670.79,87128044
2026-03-18,668.36,669.72,661.19,661.43,82062576
2026-03-19,656.97,662.98,655.17,659.8,111272539
2026-03-20,656.51,656.69,644.72,648.57,163617522
2026-03-23,658.07,662.615,653.94,655.38,134802732
2026-03-24,651.32,657.03,649.88,653.18,96457478
2026-03-25,658.67,660.89,654.24,656.82,90653787
2026-03-26,652.06,654.85,644.82,645.09,96494375
2026-03-27,642.5,642.66,633.105,634.09,103649368
2026-03-30,640.11,640.37,629.28,631.97,99275851
2026-03-31,638.94,651.54,637.98,650.34,152534102
2026-04-01,653.9,658.52,653,655.24,97841472
2026-04-02,646.42,658.2,645.11,655.83,68358713
2026-04-06,655.86,659.72,655.52,658.93,39105759
2026-04-07,656.65,659.61,651.06,659.22,69980362
2026-04-08,676.39,677.08,671.46,676.01,93606114
2026-04-09,674.84,681.16,673.77,679.91,57134445
2026-04-10,681.32,682.03,678.45,679.46,42253456
2026-04-13,677.41,686.3,676.58,686.1,54185819
2026-04-14,687.69,694.58,687.66,694.46,63480529
2026-04-15,695.26,700.28,694.2,699.94,58240384
2026-04-16,701.06,702.78,698.53,701.66,49972363
2026-04-17,706.14,712.39,705.76,710.14,70661926
2026-04-20,708.78,709.91,706.14,708.72,43546812
2026-04-21,710.28,711.275,702.64,704.08,58941384
2026-04-22,709.15,711.45,708.22,711.21,42518498
2026-04-23,709.5,712.3598,702.2803,708.45,56173991
2026-04-24,710.75,714.47,709.01,713.94,45181957
2026-04-27,713.17,715.63,712.295,715.17,33135943
2026-04-28,711.815,712.88,709.25,711.69,43117436
2026-04-29,711,712.2,708.37,711.58,41859227
2026-04-30,714.63,719.79,710.445,718.66,67240949
2026-05-01,721.25,724.87,720.47,720.65,43049849
2026-05-04,720.07,722.12,714.99,718.01,51950558
2026-05-05,721.77,725.04,721.4898,723.77,36933226
2026-05-06,728.16,734.59,727.82,733.83,53288940
2026-05-07,735.05,736.13,729.75,731.58,51724642
2026-05-08,734.93,738.08,734.57,737.62,47227085
2026-05-11,736.45,740.79,736.45,739.3,44023951
2026-05-12,736.89,738.84,731.83,738.18,54185273
2026-05-13,738.47,743.91,735.47,742.31,44200203
2026-05-14,743.65,749.53,743.56,748.17,45307603
2026-05-15,741.79,743.46,737.96,739.17,60410771
2026-05-18,739.83,741.415,733.39,738.65,47843865
2026-05-19,734.78,737.65,731.53,733.73,54255913
2026-05-20,735.71,741.87,733.89,741.25,45768035
2026-05-21,738.64,744.87,737.03,742.72,43332225
2026-05-22,746.24,748.94,744.48,745.64,41762006
2026-05-26,750.01,752.13,748.37,750.59,41123621
2026-05-27,750.88,751.38,748.22,750.46,42106286
2026-05-28,750.25,755.15,749.23,754.6,41562563
2026-05-29,755.9,758.08,754.69,756.48,55075739
2026-06-01,755.36,760.28,754.69,758.54,43634933
2026-06-02,757.03,760.4,756.75,759.57,31581852
2026-06-03,758.15,758.8,753.57,754.24,51402518
2026-06-04,752.1,758.31,751.47,757.09,49923036
2026-06-05,752.31,752.82,735.525,737.55,93989416
2026-06-08,743.36,745.34,738.19,739.22,49319144
2026-06-09,743.63,746.9,722.59,737.05,87683517
2026-06-10,733.39,738.38,725.33,725.43,60341349
2026-06-11,728.76,740,724.405,737.76,86330522
2026-06-12,740.71,744.44,735.03,741.75,57079533
2026-06-15,751.85,756.68,751.76,754.83,60176425
2026-06-16,754.55,755.44,749.88,750.33,67093142
2026-06-17,751.29,752.15,739.22,740.96,85945227
2026-06-18,747.76,748.23,743.86,746.48,80706349
